 	County	Region
1.	Blekinge	Region Blekinge
2.	Dalarna	Region Dalarna
3.	Gotland	Gotland Municipality[a]
4.	Gävleborg	Region Gävleborg
5.	Halland	Region Halland
6.	Jämtland	Region Jämtland Härjedalen
7.	Jönköping	Region Jönköping
8.	Kalmar	Region Kalmar
9.	Kronoberg	Region Kronoberg
10.	Norrbotten	Region Norrbotten
11.	Skåne	Region Skåne
12.	Stockholm	Region Stockholm
13.	Södermanland	Region Sörmland
14.	Uppsala	Region Uppsala
15.	Värmland	Region Värmland
16.	Västerbotten	Region Västerbotten
17.	Västernorrland	Region Västernorrland
18.	Västmanland	Region Västmanland
19.	Västra Götaland	Region Västra Götaland
20.	Örebro	Region Örebro
21.	Östergötland	Region Östergötland